0.5646411602900725 2258
Index,Python,TestBench
288,01111111,10000001

289,01100011,11000011

290,11000011,01100011

291,01100001,01110111

292,01110111,01100001

293,01110111,01100001

294,01100001,01110111

295,10000001,01111111

296,11000011,01100011

297,01100011,11000011

298,01111111,10000001

299,01100011,11000011

300,11000011,01100011

301,01011111,01110001

302,01110001,01011111

303,10000101,10000001

304,10000001,10000101

305,10000001,10000101

306,10000101,10000001

307,01110001,01011111

308,01011111,01110001

309,10000001,01111111

310,11000011,01100011

311,01100011,11000011

312,01111111,10000001

313,01100011,11000011

314,11000011,01100011

315,01011111,01110001

316,01110001,01011111

317,01110001,01011111

318,01011111,01110001

319,10000001,01111111

320,11000011,01100011

321,01100011,11000011

322,01111111,10000001

323,01100011,11000011

324,11000011,01100011

325,01100001,01110111

326,01110111,01100001

327,01111001,01100111

328,01100111,01111001

329,10000001,01111111

330,10110101,01000011

331,01000011,10110101

332,01111111,10000001

333,01000011,10110101

334,10110101,01000011

335,01100101,01110011

336,01110011,01100101

337,01110001,01011111

338,01011111,01110001

339,10000001,01111111

340,11000011,01100011

341,01100011,11000011

342,01111111,10000001

343,01100101,11001001

344,11001001,01100101

345,01010011,01010111

346,01010111,01010011

347,10000001,01111111

348,10111101,01001011

349,01001011,10111101

350,10011001,10000111

351,10000111,10011001

352,10000111,10011001

353,10011001,10000111

354,01111111,10000001

355,01001011,10111101

356,10111101,01001011

357,01010111,01010011

358,01010011,01010111

359,10000001,01111111

360,11001011,01101011

361,01101011,11001011

362,01111111,10000001

363,01010101,10100011

364,10100011,01010101

365,10000001,01111111

366,10100101,01011011

367,01011011,10100101

368,01111111,10000001

369,01011011,10100101

370,10100101,01011011

371,10000001,01111111

372,10100101,01011011

373,01011011,10100101

374,01111111,10000001

375,01011101,10101011

376,10101011,01011101

377,10000001,01111111

378,10010101,00110101

379,00110101,10010101

380,10101101,10101001

381,10101001,10101101

382,01111111,10000001

383,01000011,10110101

384,10110101,01000011

385,01100101,01110011

386,01110011,01100101

387,01110011,01100101

388,01100101,01110011

389,10000001,01111111

390,10110101,01000011

391,01000011,10110101

392,10101001,10101101

393,10101101,10101001

394,01111111,10000001

395,00110111,10011011

396,10011011,00110111

397,10000001,01111111

398,10011101,00111101

399,00111101,10011101

400,10100001,10001111

401,10001111,10100001

402,10001111,10100001

403,10100001,10001111

404,01111111,10000001

405,00111011,10010111

406,10010111,00111011

407,10000001,01111111

408,10101001,01010111

409,01010111,10101001

410,01111111,10000001

411,01101011,11001011

412,11001011,01101011

413,01010011,01010111

414,01010111,01010011

415,10000001,01111111

416,10111011,01000101

417,01000101,10111011

418,10101001,10101101

419,10101101,10101001

420,01111111,10000001

421,00110111,10011011

422,10011011,00110111

423,10000001,01111111

424,10011101,00111101

425,00111101,10011101

426,10011111,10001001

427,10001001,10011111

428,10000111,10011001

429,10011001,10000111

430,01111111,10000001

431,01001011,10111101

432,10111101,01001011

433,01010111,01010011

434,01010011,01010111

435,10000001,01111111

436,11001001,01100101

437,01100101,11001001

438,01111111,10000001

439,01100011,11000011

440,11000011,01100011

441,01100001,01110111

442,01110111,01100001

443,01110111,01100001

444,01100001,01110111

445,10000001,01111111

446,11000101,01101001

447,01101001,11000101

448,01111111,10000001

449,01010101,10100011

450,10100011,01010101

451,10000001,01111111

452,10100011,01010101

453,01010101,10100011

454,01111111,10000001

455,01101001,11000101

456,11000101,01101001

457,01011111,01110001

458,01110001,01011111

459,01110001,01011111

460,01011111,01110001

461,10000001,01111111

462,11000101,01101001

463,01101001,11000101

464,01111111,10000001

465,01010101,10100011

466,10100011,01010101

467,10000001,01111111

468,10100101,01011011

469,01011011,10100101

470,01111111,10000001

471,01011101,10101011

472,10101011,01011101

473,10000001,01111111

474,10010101,00110101

475,00110101,10010101

476,01111111,10000001

477,00110101,10010101

478,10010101,00110101

479,10000001,01111111

480,10101001,01010111

481,01010111,10101001

482,01111111,10000001

483,01101011,11001011

484,11001011,01101011

485,01010011,01010111

486,01010111,01010011

487,10000001,01111111

488,10111101,01001011

489,01001011,10111101

490,10011011,10001101

491,10001101,10011011

492,01111011,01111111

493,01111111,01111011

494,01111111,01111011

495,01111011,01111111

496,10001111,10100001

497,10100001,10001111

498,01111111,10000001

499,00111101,10011101

500,10011101,00111101

501,10000001,01111111

502,10011011,00110111

503,00110111,10011011

504,10101101,10101001

505,10101001,10101101

506,01111111,10000001

507,01000101,10111011

508,10111011,01000101

509,01010111,01010011

510,01010011,01010111

511,10000001,01111111

512,11001001,01100101

513,01100101,11001001

514,01111111,10000001

515,01100101,11001001

516,11001001,01100101

517,10000001,01111111

518,11001001,01100101

519,01100101,11001001

520,01111111,10000001

521,01100101,11001001

522,11001001,01100101

523,10000001,01111111

524,11001011,01101011

525,01101011,11001011

526,01111111,10000001

527,01010111,10101001

528,10101001,01010111

529,10000001,01111111

530,10010101,00110101

531,00110101,10010101

532,01111111,10000001

533,00110111,10011011

534,10011011,00110111

535,10000001,01111111

536,10011101,00111101

537,00111101,10011101

538,10100001,10001111

539,10001111,10100001

540,01111011,01111111

541,01111111,01111011

542,01111111,01111011

543,01111011,01111111

544,10001101,10011011

545,10011011,10001101

546,01111111,10000001

547,01001011,10111101

548,10111101,01001011

549,01010111,01010011

550,01010011,01010111

551,10000001,01111111

552,11001001,01100101

553,01100101,11001001

554,01111111,10000001

555,01100101,11001001

556,11001001,01100101

557,01010011,01010111

558,01010111,01010011

559,10000001,01111111

560,10111011,01000101

561,01000101,10111011

562,10101001,10101101

563,10101101,10101001

564,01111111,10000001

565,00110101,10010101

566,10010101,00110101

567,10000001,01111111

568,10101011,01011101

569,01011101,10101011

570,01111111,10000001

571,01011011,10100101

572,10100101,01011011

573,10000001,01111111

574,10100011,01010101

575,01010101,10100011

576,01111111,10000001

577,01101011,11001011

578,11001011,01101011

579,01010011,01010111

580,01010111,01010011

581,10000001,01111111

582,10111011,01000101

583,01000101,10111011

584,01111111,10000001

585,01000101,10111011

586,10111011,01000101

587,10000001,01111111

588,10111011,01000101

589,01000101,10111011

590,01111111,10000001

591,01000011,10110101

592,10110101,01000011

593,01100101,01110011

594,01110011,01100101

595,10000101,10000001

596,10000001,10000101

597,10000001,10000101

598,10000101,10000001

599,01110011,01100101

600,01100101,01110011

601,10000001,01111111

602,10110101,01000011

603,01000011,10110101

604,01111111,10000001

605,01000011,10110101

606,10110101,01000011

607,01100111,01111001

608,01111001,01100111

609,01111001,01100111

610,01100111,01111001

611,10000001,01111111

612,10110101,01000011

613,01000011,10110101

614,01111111,10000001

615,01000101,10111011

616,10111011,01000101

617,01010111,01010011

618,01010011,01010111

619,10000001,01111111

620,11001011,01101011

621,01101011,11001011

622,01111111,10000001

623,01010101,10100011

624,10100011,01010101

625,10000001,01111111

626,10100011,01010101

627,01010101,10100011

628,01111111,10000001

629,01101001,11000101

630,11000101,01101001

631,01100001,01110111

632,01110111,01100001

633,01111001,01100111

634,01100111,01111001

635,10000001,01111111

636,10110101,01000011

637,01000011,10110101

638,10101001,10101101

639,10101101,10101001

640,01111111,10000001

641,00110101,10010101

642,10010101,00110101

643,10000001,01111111

644,10101001,01010111

645,01010111,10101001

646,01111111,10000001

647,01101011,11001011

648,11001011,01101011

649,10000001,01111111

650,11001011,01101011

651,01101011,11001011

652,01111111,10000001

653,01010111,10101001

654,10101001,01010111

655,10000001,01111111

656,10010111,00111011

657,00111011,10010111

658,10100001,10001111

659,10001111,10100001

660,01111011,01111111

661,01111111,01111011

662,01111111,01111011

663,01111011,01111111

664,10001111,10100001

665,10100001,10001111

666,01111111,10000001

667,00111011,10010111

668,10010111,00111011

669,10000001,01111111

670,10101001,01010111

671,01010111,10101001

672,01111111,10000001

673,01101001,11000101

674,11000101,01101001

675,01100001,01110111

676,01110111,01100001

677,01110111,01100001

678,01100001,01110111

679,10000001,01111111

680,11000101,01101001

681,01101001,11000101

682,01111111,10000001

683,01010111,10101001

684,10101001,01010111

685,10000001,01111111

686,10010101,00110101

687,00110101,10010101

688,10101101,10101001

689,10101001,10101101

690,01111111,10000001

691,01000011,10110101

692,10110101,01000011

693,01100111,01111001

694,01111001,01100111

695,01111001,01100111

696,01100111,01111001

697,10000001,01111111

698,10110111,01001001

699,01001001,10110111

700,10011001,10000111

701,10000111,10011001

702,10001001,10011111

703,10011111,10001001

704,01111111,10000001

705,00111011,10010111

706,10010111,00111011

707,10000001,01111111

708,10101011,01011101

709,01011101,10101011

710,01111111,10000001

711,01011101,10101011

712,10101011,01011101

713,10000001,01111111

714,10010101,00110101

715,00110101,10010101

716,10101101,10101001

717,10101001,10101101

718,01111111,10000001

719,01000101,10111011

720,10111011,01000101

721,01010111,01010011

722,01010011,01010111

723,10000001,01111111

724,11001011,01101011

725,01101011,11001011

726,01111111,10000001

727,01010111,10101001

728,10101001,01010111

729,10000001,01111111

730,10010101,00110101

731,00110101,10010101

732,10101101,10101001

733,10101001,10101101

734,01111111,10000001

735,01000101,10111011

736,10111011,01000101

737,10000001,01111111

738,10111101,01001011

739,01001011,10111101

740,10011011,10001101

741,10001101,10011011

742,10001101,10011011

743,10011011,10001101

744,01111111,10000001

745,01001001,10110111

746,10110111,01001001

747,01100111,01111001

748,01111001,01100111

749,01111001,01100111

750,01100111,01111001

751,10000001,01111111

752,10110111,01001001

753,01001001,10110111

754,10011011,10001101

755,10001101,10011011

756,01111011,01111111

757,01111111,01111011

758,01111111,01111011

759,01111011,01111111

760,10001111,10100001

761,10100001,10001111

762,01111111,10000001

763,00111101,10011101

764,10011101,00111101

765,10000001,01111111

766,10011101,00111101

767,00111101,10011101

768,10011111,10001001

769,10001001,10011111

770,10001001,10011111

771,10011111,10001001

772,01111111,10000001

773,00111011,10010111

774,10010111,00111011

775,10000001,01111111

776,10101001,01010111

777,01010111,10101001

778,01111111,10000001

779,01101001,11000101

780,11000101,01101001

781,01011111,01110001

782,01110001,01011111

783,10000101,10000001

784,10000001,10000101

785,10000001,10000101

786,10000101,10000001

787,01110011,01100101

788,01100101,01110011

