0.5643910977744436 2257
Index,Python,TestBench
288,01111111,10000001

289,00110101,10010101

290,10010101,00110101

291,10000001,01111111

292,10101001,01010111

293,01010111,10101001

294,01111111,10000001

295,01101011,11001011

296,11001011,01101011

297,10000001,01111111

298,11001011,01101011

299,01101011,11001011

300,01111111,10000001

301,01010111,10101001

302,10101001,01010111

303,10000001,01111111

304,10010111,00111011

305,00111011,10010111

306,10100001,10001111

307,10001111,10100001

308,01111011,01111111

309,01111111,01111011

310,01111111,01111011

311,01111011,01111111

312,10001111,10100001

313,10100001,10001111

314,01111111,10000001

315,00111011,10010111

316,10010111,00111011

317,10000001,01111111

318,10101001,01010111

319,01010111,10101001

320,01111111,10000001

321,01101001,11000101

322,11000101,01101001

323,01100001,01110111

324,01110111,01100001

325,01110111,01100001

326,01100001,01110111

327,10000001,01111111

328,11000101,01101001

329,01101001,11000101

330,01111111,10000001

331,01010111,10101001

332,10101001,01010111

333,10000001,01111111

334,10010101,00110101

335,00110101,10010101

336,10101101,10101001

337,10101001,10101101

338,01111111,10000001

339,01000011,10110101

340,10110101,01000011

341,01100111,01111001

342,01111001,01100111

343,01111001,01100111

344,01100111,01111001

345,10000001,01111111

346,10110111,01001001

347,01001001,10110111

348,10011001,10000111

349,10000111,10011001

350,10001001,10011111

351,10011111,10001001

352,01111111,10000001

353,00111011,10010111

354,10010111,00111011

355,10000001,01111111

356,10101011,01011101

357,01011101,10101011

358,01111111,10000001

359,01011101,10101011

360,10101011,01011101

361,10000001,01111111

362,10010101,00110101

363,00110101,10010101

364,10101101,10101001

365,10101001,10101101

366,01111111,10000001

367,01000101,10111011

368,10111011,01000101

369,01010111,01010011

370,01010011,01010111

371,10000001,01111111

372,11001011,01101011

373,01101011,11001011

374,01111111,10000001

375,01010111,10101001

376,10101001,01010111

377,10000001,01111111

378,10010101,00110101

379,00110101,10010101

380,10101101,10101001

381,10101001,10101101

382,01111111,10000001

383,01000101,10111011

384,10111011,01000101

385,10000001,01111111

386,10111101,01001011

387,01001011,10111101

388,10011011,10001101

389,10001101,10011011

390,10001101,10011011

391,10011011,10001101

392,01111111,10000001

393,01001001,10110111

394,10110111,01001001

395,01100111,01111001

396,01111001,01100111

397,01111001,01100111

398,01100111,01111001

399,10000001,01111111

400,10110111,01001001

401,01001001,10110111

402,10011011,10001101

403,10001101,10011011

404,01111011,01111111

405,01111111,01111011

406,01111111,01111011

407,01111011,01111111

408,10001111,10100001

409,10100001,10001111

410,01111111,10000001

411,00111101,10011101

412,10011101,00111101

413,10000001,01111111

414,10011101,00111101

415,00111101,10011101

416,10011111,10001001

417,10001001,10011111

418,10001001,10011111

419,10011111,10001001

420,01111111,10000001

421,00111011,10010111

422,10010111,00111011

423,10000001,01111111

424,10101001,01010111

425,01010111,10101001

426,01111111,10000001

427,01101001,11000101

428,11000101,01101001

429,01011111,01110001

430,01110001,01011111

431,10000101,10000001

432,10000001,10000101

433,10000001,10000101

434,10000101,10000001

435,01110011,01100101

436,01100101,01110011

437,10000001,01111111

438,10110101,01000011

439,01000011,10110101

440,10101001,10101101

441,10101101,10101001

442,01111111,10000001

443,00110101,10010101

444,10010101,00110101

445,10000001,01111111

446,10101011,01011101

447,01011101,10101011

448,01111111,10000001

449,01011101,10101011

450,10101011,01011101

451,10000001,01111111

452,10010101,00110101

453,00110101,10010101

454,01111111,10000001

455,00110111,10011011

456,10011011,00110111

457,10000001,01111111

458,10011011,00110111

459,00110111,10011011

460,01111111,10000001

461,00110111,10011011

462,10011011,00110111

463,10000001,01111111

464,10011101,00111101

465,00111101,10011101

466,10011111,10001001

467,10001001,10011111

468,10001001,10011111

469,10011111,10001001

470,01111111,10000001

471,00111101,10011101

472,10011101,00111101

473,10000001,01111111

474,10011011,00110111

475,00110111,10011011

476,10101101,10101001

477,10101001,10101101

478,01111111,10000001

479,01000011,10110101

480,10110101,01000011

481,01100101,01110011

482,01110011,01100101

483,10000101,10000001

484,10000001,10000101

485,10000001,10000101

486,10000101,10000001

487,01110001,01011111

488,01011111,01110001

489,10000001,01111111

490,11000101,01101001

491,01101001,11000101

492,01111111,10000001

493,01010111,10101001

494,10101001,01010111

495,10000001,01111111

496,10010101,00110101

497,00110101,10010101

498,01111111,10000001

499,00110101,10010101

500,10010101,00110101

501,10000001,01111111

502,10101011,01011101

503,01011101,10101011

504,01111111,10000001

505,01011101,10101011

506,10101011,01011101

507,10000001,01111111

508,10010111,00111011

509,00111011,10010111

510,10100001,10001111

511,10001111,10100001

512,01111011,01111111

513,01111111,01111011

514,01111111,01111011

515,01111011,01111111

516,10001111,10100001

517,10100001,10001111

518,01111111,10000001

519,00111011,10010111

520,10010111,00111011

521,10000001,01111111

522,10101011,01011101

523,01011101,10101011

524,01111111,10000001

525,01011011,10100101

526,10100101,01011011

527,10000001,01111111

528,10100101,01011011

529,01011011,10100101

530,01111111,10000001

531,01011011,10100101

532,10100101,01011011

533,10000001,01111111

534,10100101,01011011

535,01011011,10100101

536,01111111,10000001

537,01011011,10100101

538,10100101,01011011

539,10000001,01111111

540,10100011,01010101

541,01010101,10100011

542,01111111,10000001

543,01101001,11000101

544,11000101,01101001

545,01011111,01110001

546,01110001,01011111

547,10000101,10000001

548,10000001,10000101

549,10000001,10000101

550,10000101,10000001

551,01110001,01011111

552,01011111,01110001

553,10000001,01111111

554,11000101,01101001

555,01101001,11000101

556,01111111,10000001

557,01010101,10100011

558,10100011,01010101

559,10000001,01111111

560,10100011,01010101

561,01010101,10100011

562,01111111,10000001

563,01101011,11001011

564,11001011,01101011

565,10000001,01111111

566,11001011,01101011

567,01101011,11001011

568,01111111,10000001

569,01010101,10100011

570,10100011,01010101

571,10000001,01111111

572,10100101,01011011

573,01011011,10100101

574,01111111,10000001

575,01011101,10101011

576,10101011,01011101

577,10000001,01111111

578,10010111,00111011

579,00111011,10010111

580,10100001,10001111

581,10001111,10100001

582,10001101,10011011

583,10011011,10001101

584,01111111,10000001

585,01001011,10111101

586,10111101,01001011

587,01010111,01010011

588,01010011,01010111

589,10000001,01111111

590,11001011,01101011

591,01101011,11001011

592,01111111,10000001

593,01010111,10101001

594,10101001,01010111

595,10000001,01111111

596,10010111,00111011

597,00111011,10010111

598,10011111,10001001

599,10001001,10011111

600,10001001,10011111

601,10011111,10001001

602,01111111,10000001

603,00111101,10011101

604,10011101,00111101

605,10000001,01111111

606,10011101,00111101

607,00111101,10011101

608,10011111,10001001

609,10001001,10011111

610,10000111,10011001

611,10011001,10000111

612,01111111,10000001

613,01001001,10110111

614,10110111,01001001

615,01100101,01110011

616,01110011,01100101

617,10000101,10000001

618,10000001,10000101

619,10000001,10000101

620,10000101,10000001

621,01110011,01100101

622,01100101,01110011

623,10000001,01111111

624,10110111,01001001

625,01001001,10110111

626,10011001,10000111

627,10000111,10011001

628,10000111,10011001

629,10011001,10000111

630,01111111,10000001

631,01001011,10111101

632,10111101,01001011

633,10000001,01111111

634,10111101,01001011

635,01001011,10111101

636,10011001,10000111

637,10000111,10011001

638,10001001,10011111

639,10011111,10001001

640,01111111,10000001

641,00111011,10010111

642,10010111,00111011

643,10000001,01111111

644,10101001,01010111

645,01010111,10101001

646,01111111,10000001

647,01101011,11001011

648,11001011,01101011

649,10000001,01111111

650,11001001,01100101

651,01100101,11001001

652,01111111,10000001

653,01100101,11001001

654,11001001,01100101

655,01010011,01010111

656,01010111,01010011

657,10000001,01111111

658,10111101,01001011

659,01001011,10111101

660,10011011,10001101

661,10001101,10011011

662,10001111,10100001

663,10100001,10001111

664,01111111,10000001

665,00111011,10010111

666,10010111,00111011

667,10000001,01111111

668,10101011,01011101

669,01011101,10101011

670,01111111,10000001

671,01011101,10101011

672,10101011,01011101

673,10000001,01111111

674,10010111,00111011

675,00111011,10010111

676,10011111,10001001

677,10001001,10011111

678,10001001,10011111

679,10011111,10001001

680,01111111,10000001

681,00111011,10010111

682,10010111,00111011

683,10000001,01111111

684,10101011,01011101

685,01011101,10101011

686,01111111,10000001

687,01011011,10100101

688,10100101,01011011

689,10000001,01111111

690,10100011,01010101

691,01010101,10100011

692,01111111,10000001

693,01101001,11000101

694,11000101,01101001

695,01100001,01110111

696,01110111,01100001

697,01110111,01100001

698,01100001,01110111

699,10000001,01111111

700,11000011,01100011

701,01100011,11000011

702,01111111,10000001

703,01100101,11001001

704,11001001,01100101

705,10000001,01111111

706,11001001,01100101

707,01100101,11001001

708,01111111,10000001

709,01100011,11000011

710,11000011,01100011

711,01011111,01110001

712,01110001,01011111

713,01110011,01100101

714,01100101,01110011

715,10000001,01111111

716,10110101,01000011

717,01000011,10110101

718,01111111,10000001

719,01000101,10111011

720,10111011,01000101

721,10000001,01111111

722,10111101,01001011

723,01001011,10111101

724,10011001,10000111

725,10000111,10011001

726,10000111,10011001

727,10011001,10000111

728,01111111,10000001

729,01001001,10110111

730,10110111,01001001

731,01100101,01110011

732,01110011,01100101

733,01110001,01011111

734,01011111,01110001

735,10000001,01111111

736,11000101,01101001

737,01101001,11000101

738,01111111,10000001

739,01010111,10101001

740,10101001,01010111

741,10000001,01111111

742,10010111,00111011

743,00111011,10010111

744,10100001,10001111

745,10001111,10100001

746,10001111,10100001

747,10100001,10001111

748,01111111,10000001

749,00111101,10011101

750,10011101,00111101

751,10000001,01111111

752,10011011,00110111

753,00110111,10011011

754,01111111,10000001

755,00110111,10011011

756,10011011,00110111

757,10000001,01111111

758,10011011,00110111

759,00110111,10011011

760,10101101,10101001

761,10101001,10101101

762,01111111,10000001

763,01000101,10111011

764,10111011,01000101

765,10000001,01111111

766,10111011,01000101

767,01000101,10111011

768,10101001,10101101

769,10101101,10101001

770,01111111,10000001

771,00110101,10010101

772,10010101,00110101

773,10000001,01111111

774,10101001,01010111

775,01010111,10101001

776,01111111,10000001

777,01101001,11000101

778,11000101,01101001

779,01011111,01110001

780,01110001,01011111

781,01110011,01100101

782,01100101,01110011

783,10000001,01111111

784,10110111,01001001

785,01001001,10110111

786,10011001,10000111

787,10000111,10011001

788,10001001,10011111

