0.48148148148148145 481
Python,TestBench
244,1101000110,0111111111

245,1110011000,1110011001

246,1111000000,1111000001

247,1010011110,0111111111

248,1110000000,1110000001

249,1101111000,1101111001

250,0100111101,0100111110

251,1111010001,1111010010

252,0000101101,0000101110

253,1100011010,1100011011

254,1001000000,0111111111

255,0110110110,1000000000

256,1111010010,1111010011

257,0010101001,0010101010

258,0101100010,0101100011

259,1111111111,0000000000

260,0000011001,0000011010

261,0001011100,0001011101

262,1101011010,1101011011

263,0001101001,0001101010

264,1111100110,1111100111

265,0001001110,0001001111

266,1100001101,1100001110

267,0101000001,1000000000

268,1111111011,1111111100

269,0010000000,0010000001

270,0011011011,0011011100

271,0000000010,0000000011

272,1000001011,0111111111

273,1110111110,1110111111

274,0110010010,1000000000

275,0100110110,0100110111

276,0000100110,0000100111

277,1100101110,1100101111

278,0010001011,1000000000

279,0001001001,0001001010

280,0110000000,0110000001

281,1101101011,1101101100

282,1110111011,1110111100

283,0001101100,0001101101

284,1000111111,0111111111

285,0010011011,1000000000

286,0000011001,0000011010

287,1000000001,1000000010

288,0100011001,1000000000

289,1011000010,0111111111

290,0011010101,0011010110

291,1000110101,0111111111

292,0101010011,1000000000

293,1100100000,0111111111

294,0111101100,1000000000

295,1100110111,0111111111

296,0000001011,0000001100

297,1111010101,1111010110

298,1111111000,1111111001

299,1111110111,1111111000

300,0011010011,1000000000

301,0110011110,1000000000

302,1110110100,1110110101

303,0000001000,0000001001

304,1101110110,1101110111

305,0111000001,0111000010

306,1001010100,1001010101

307,1000000010,0111111111

308,0011001001,0011001010

309,1110010100,1110010101

310,0101001110,0101001111

311,1111001101,1111001110

312,0110001010,0110001011

313,1010111110,0111111111

314,0000101111,0000110000

315,1010101111,0111111111

316,1010000001,0111111111

317,1000100111,0111111111

318,0101101001,0101101010

319,1111110111,1111111000

320,0100101111,0100110000

321,1001011110,1001011111

322,0000011001,0000011010

323,0101110011,0101110100

324,0000001011,0000001100

325,1010101011,1010101100

326,0000010100,0000010101

327,0001000100,0001000101

328,0111010110,1000000000

329,0101111010,1000000000

330,1111111010,1111111011

331,1100111010,1100111011

332,1111110000,1111110001

333,1110000011,1110000100

334,0000100100,0000100101

335,0100101000,0100101001

336,1111111010,1111111011

337,0101111111,0110000000

338,0100010001,0100010010

339,1100010000,1100010001

340,0100100001,1000000000

341,1111010100,1111010101

342,1001100100,1001100101

343,0110001000,0110001001

344,1111101000,1111101001

345,1101011101,1101011110

346,1000000001,1000000010

347,0010100100,0010100101

348,0000111110,0000111111

349,1110001010,1110001011

350,0111101011,0111101100

351,1000110000,0111111111

352,0101010011,0101010100

353,0101000101,1000000000

354,0010010110,0010010111

355,0000000011,0000000100

356,0000100011,0000100100

357,0011011000,0011011001

358,0010111111,0011000000

359,1100101000,0111111111

360,1111001011,1111001100

361,1110010001,1110010010

362,0111110101,1000000000

363,1010000100,0111111111

364,0110100000,1000000000

365,0010100000,1000000000

366,1110010011,1110010100

367,0000000001,0000000010

368,1100100001,1100100010

369,1011110000,0111111111

370,1101111000,1101111001

371,0100110010,0100110011

372,1000110011,1000110100

373,1111001111,1111010000

374,0000000001,0000000010

375,1100010110,0111111111

376,1101101110,1101101111

377,1001101000,0111111111

378,1110100000,1110100001

379,1111111110,1111111111

380,1110111001,1110111010

381,1111100000,1111100001

382,1010111110,0111111111

383,0111110110,1000000000

384,1000110110,1000110111

385,1000010100,0111111111

386,1101111100,1101111101

387,1010011110,0111111111

388,1011011001,1011011010

389,1001110001,1001110010

390,0010010000,0010010001

391,0010010101,1000000000

392,0110111110,1000000000

393,0111111110,1000000000

394,0110100111,1000000000

395,0011000100,0011000101

396,1001011101,1001011110

397,1001100110,0111111111

398,1111111110,1111111111

399,1000101100,0111111111

400,0100010000,0100010001

401,0111000001,1000000000

402,0110000000,0110000001

403,1001011000,0111111111

404,1000000011,0111111111

405,1111010001,1111010010

406,0101011001,0101011010

407,1000000100,0111111111

408,1100001100,0111111111

409,0000101000,0000101001

410,0011101000,0011101001

411,1111001000,1111001001

412,1010101100,1010101101

413,1101001110,1101001111

414,0110001010,1000000000

415,1011010100,1011010101

416,1101101011,1101101100

417,1000010000,1000010001

418,0111010001,1000000000

419,1000110110,0111111111

420,0111001001,1000000000

421,0010001001,0010001010

422,0110101000,1000000000

423,0110101000,0110101001

424,0010001001,0010001010

425,1101000100,1101000101

426,0110110001,0110110010

427,0110000100,1000000000

428,1001100010,1001100011

429,1100010110,0111111111

430,0000110110,0000110111

431,1100000000,1100000001

432,1010010110,0111111111

433,0011010100,0011010101

434,1011001010,0111111111

435,1000100111,1000101000

436,1110001101,1110001110

437,0101000011,0101000100

438,0001001101,0001001110

439,0011101110,1000000000

440,1110110111,1110111000

441,0101001100,0101001101

442,0001101010,0001101011

443,1100110001,0111111111

444,1110110111,1110111000

445,0100011011,0100011100

446,1110100010,0111111111

447,1110100011,1110100100

448,1000000110,0111111111

449,0101110010,1000000000

450,1111000011,1111000100

451,0001000010,0001000011

452,0100010101,0100010110

453,1111011011,1111011100

454,0100111000,0100111001

455,0000111100,0000111101

456,0010111010,0010111011

457,0111110010,1000000000

458,1101011100,0111111111

459,0100000001,1000000000

460,1111100011,1111100100

461,0000110101,0000110110

462,1110011111,0111111111

463,1011011111,1011100000

464,1111010110,1111010111

465,0010001100,0010001101

466,1111010100,1111010101

467,1000000110,0111111111

468,1111010000,1111010001

469,0010011000,0010011001

470,0010010110,0010010111

471,0010001100,0010001101

472,1110100111,1110101000

473,0001000011,1000000000

474,1111110111,1111111000

475,1001100010,0111111111

476,0000001001,0000001010

477,0010011000,0010011001

478,0111101000,1000000000

479,1101011101,1101011110

480,0110011011,0110011100

